;DEP;REG;nom_commune;score_acces_interface_numerique_region;score_acces_interface_numerique_departement;score_competence_administratives_region;score_competence_administratives_departement
409;2;84;Ainay-le-Château;176.0;86.0;33.0;36.0
410;2;84;Andelaroche;142.0;116.0;42.0;53.0
411;2;84;Archignat;100.0;72.0;50.0;42.0
412;2;84;Arfeuilles;153.0;108.0;25.0;58.0
413;2;84;Arpheuilles-Saint-Priest;80.0;105.0;31.0;51.0
414;2;84;Arronnes;115.0;64.0;40.0;32.0
415;2;84;Aubigny;62.0;87.0;81.0;40.0
416;2;84;Audes;120.0;73.0;38.0;41.0
417;2;84;Aurouër;65.0;91.0;41.0;46.0
418;2;84;Autry-Issards;77.0;89.0;36.0;30.0
419;2;84;Avermes;121.0;89.0;39.0;37.0
420;2;84;Avrilly;198.0;76.0;20.0;37.0
421;2;84;Bagneux;78.0;67.0;44.0;52.0
422;2;84;Barberier;135.0;68.0;25.0;44.0
423;2;84;Barrais-Bussolles;106.0;64.0;47.0;48.0
424;2;84;Bayet;88.0;108.0;47.0;48.0
425;2;84;Beaulon;138.0;106.0;31.0;55.0
426;2;84;Beaune-d'Allier;123.0;104.0;35.0;46.0
427;2;84;Bègues;108.0;109.0;39.0;61.0
428;2;84;Bellenaves;151.0;92.0;31.0;43.0
429;2;84;Bellerive-sur-Allier;154.0;69.0;34.0;44.0
430;2;84;Bert;173.0;137.0;24.0;34.0
431;2;84;Bessay-sur-Allier;110.0;80.0;45.0;50.0
432;2;84;Besson;102.0;126.0;33.0;55.0
433;2;84;Bézenet;138.0;94.0;40.0;46.0
434;2;84;Billezois;119.0;79.0;48.0;49.0
435;2;84;Billy;130.0;121.0;33.0;48.0
436;2;84;Biozat;91.0;116.0;33.0;53.0
437;2;84;Bizeneuille;113.0;92.0;33.0;58.0
438;2;84;Blomard;117.0;90.0;51.0;37.0
439;2;84;Bost;62.0;67.0;37.0;51.0
440;2;84;Boucé;119.0;65.0;51.0;47.0
441;2;84;Le Bouchaud;119.0;101.0;42.0;49.0
442;2;84;Bourbon-l'Archambault;175.0;73.0;33.0;50.0
443;2;84;Braize;113.0;172.0;30.0;26.0
444;2;84;Bransat;112.0;93.0;38.0;77.0
445;2;84;Bresnay;105.0;95.0;37.0;49.0
446;2;84;Bressolles;112.0;101.0;35.0;43.0
447;2;84;Le Brethon;145.0;106.0;22.0;43.0
448;2;84;Le Breuil;136.0;103.0;38.0;42.0
449;2;84;Broût-Vernet;114.0;147.0;35.0;81.0
450;2;84;Brugheas;99.0;82.0;34.0;43.0
451;2;84;Busset;100.0;105.0;34.0;57.0
